Year,ID,Skill,Subskill,Gains,Pre,
Guided,1,Confidence,Perform,1,4,
Guided,3,Confidence,Perform,1,3,
Guided,4,Confidence,Perform,0,5,
Guided,5,Confidence,Perform,0,3,
Guided,6,Confidence,Perform,0,4,
Guided,7,Confidence,Perform,0,5,
Guided,9,Confidence,Perform,1,4,
Guided,10,Confidence,Perform,0,4,
Guided,11,Confidence,Perform,0,5,
Guided,12,Confidence,Perform,0,4,
Guided,13,Confidence,Perform,-1,5,
Guided,14,Confidence,Perform,1,3,
Guided,15,Confidence,Perform,-1,5,
Guided,16,Confidence,Perform,-1,5,
Guided,17,Confidence,Perform,2,2,
Guided,18,Confidence,Perform,0,5,
Guided,19,Confidence,Perform,0,4,
Guided,21,Confidence,Perform,0,5,
Guided,22,Confidence,Perform,0,4,
Guided,24,Confidence,Perform,0,5,
Guided,25,Confidence,Perform,0,3,
Guided,26,Confidence,Perform,0,5,
Guided,27,Confidence,Perform,1,2,
Guided,28,Confidence,Perform,-1,5,
Autonomous,ALI-22,Confidence,Perform,0,2,
Autonomous,AND-71,Confidence,Perform,0,3,
Autonomous,BUF-12,Confidence,Perform,0,1,
Autonomous,CAR-24,Confidence,Perform,1,3,
Autonomous,CON-11,Confidence,Perform,1,3,
Autonomous,CON-68,Confidence,Perform,0,2,
Autonomous,DON-64,Confidence,Perform,0,3,
Autonomous,HUI-14,Confidence,Perform,1,3,
Autonomous,IDA-HA,Confidence,Perform,1,3,
Autonomous,JUD-32,Confidence,Perform,0,3,
Autonomous,LAD-11,Confidence,Perform,0,2,
Autonomous,16-Mar,Confidence,Perform,0,3,
Autonomous,PAT-22,Confidence,Perform,0,4,
Autonomous,ROQ-20,Confidence,Perform,0,1,
Autonomous,RHO-80,Confidence,Perform,1,3,
Autonomous,TAM-30,Confidence,Perform,0,4,
Guided,1,Confidence,Design,0,4,
Guided,3,Confidence,Design,2,2,
Guided,4,Confidence,Design,1,4,
Guided,5,Confidence,Design,0,2,
Guided,6,Confidence,Design,1,1,
Guided,7,Confidence,Design,0,5,
Guided,9,Confidence,Design,1,3,
Guided,10,Confidence,Design,1,2,
Guided,11,Confidence,Design,0,4,
Guided,12,Confidence,Design,-1,4,
Guided,13,Confidence,Design,0,4,
Guided,14,Confidence,Design,1,2,
Guided,15,Confidence,Design,0,2,
Guided,16,Confidence,Design,0,4,
Guided,17,Confidence,Design,0,3,
Guided,18,Confidence,Design,0,4,
Guided,19,Confidence,Design,1,2,
Guided,21,Confidence,Design,0,4,
Guided,22,Confidence,Design,-1,4,
Guided,24,Confidence,Design,0,5,
Guided,25,Confidence,Design,-1,3,
Guided,26,Confidence,Design,-1,4,
Guided,27,Confidence,Design,2,1,
Guided,28,Confidence,Design,2,1,
Autonomous,ALI-22,Confidence,Design,1,5,
Autonomous,AND-71,Confidence,Design,1,4,
Autonomous,BUF-12,Confidence,Design,0,5,
Autonomous,CAR-24,Confidence,Design,1,2,
Autonomous,CON-11,Confidence,Design,1,2,
Autonomous,CON-68,Confidence,Design,-1,1,
Autonomous,DON-64,Confidence,Design,1,5,
Autonomous,HUI-14,Confidence,Design,1,4,
Autonomous,IDA-HA,Confidence,Design,2,2,
Autonomous,JUD-32,Confidence,Design,1,3,
Autonomous,LAD-11,Confidence,Design,1,4,
Autonomous,16-Mar,Confidence,Design,1,5,
Autonomous,PAT-22,Confidence,Design,0,4,
Autonomous,ROQ-20,Confidence,Design,0,4,
Autonomous,RHO-80,Confidence,Design,-2,5,
Autonomous,TAM-30,Confidence,Design,1,4,
Guided,1,Confidence,Notebook,-1,3,
Guided,3,Confidence,Notebook,-2,3,
Guided,4,Confidence,Notebook,1,5,
Guided,5,Confidence,Notebook,1,5,
Guided,6,Confidence,Notebook,0,4,
Guided,7,Confidence,Notebook,0,5,
Guided,9,Confidence,Notebook,0,5,
Guided,10,Confidence,Notebook,0,2,
Guided,11,Confidence,Notebook,0,5,
Guided,12,Confidence,Notebook,1,4,
Guided,13,Confidence,Notebook,1,5,
Guided,14,Confidence,Notebook,0,3,
Guided,15,Confidence,Notebook,0,4,
Guided,16,Confidence,Notebook,1,4,
Guided,17,Confidence,Notebook,1,5,
Guided,18,Confidence,Notebook,1,4,
Guided,19,Confidence,Notebook,1,5,
Guided,21,Confidence,Notebook,0,5,
Guided,22,Confidence,Notebook,-1,5,
Guided,24,Confidence,Notebook,1,5,
Guided,25,Confidence,Notebook,-2,4,
Guided,26,Confidence,Notebook,0,4,
Guided,27,Confidence,Notebook,-1,4,
Guided,28,Confidence,Notebook,-1,4,
Autonomous,ALI-22,Confidence,Notebook,0,4,
Autonomous,AND-71,Confidence,Notebook,0,4,
Autonomous,BUF-12,Confidence,Notebook,0,5,
Autonomous,CAR-24,Confidence,Notebook,-2,5,
Autonomous,CON-11,Confidence,Notebook,1,3,
Autonomous,CON-68,Confidence,Notebook,-1,4,
Autonomous,DON-64,Confidence,Notebook,1,5,
Autonomous,HUI-14,Confidence,Notebook,-1,5,
Autonomous,IDA-HA,Confidence,Notebook,1,4,
Autonomous,JUD-32,Confidence,Notebook,1,2,
Autonomous,LAD-11,Confidence,Notebook,0,2,
Autonomous,16-Mar,Confidence,Notebook,0,2,
Autonomous,PAT-22,Confidence,Notebook,-1,4,
