ID,Experience,Time,Skill,Subskill,Score
1,Guided,Post,Applicability,Discovery,5
2,Guided,Post,Applicability,Discovery,
3,Guided,Post,Applicability,Discovery,3
4,Guided,Post,Applicability,Discovery,5
5,Guided,Post,Applicability,Discovery,2
6,Guided,Post,Applicability,Discovery,3
7,Guided,Post,Applicability,Discovery,3
8,Guided,Post,Applicability,Discovery,
9,Guided,Post,Applicability,Discovery,3
10,Guided,Post,Applicability,Discovery,3
11,Guided,Post,Applicability,Discovery,3
12,Guided,Post,Applicability,Discovery,4
13,Guided,Post,Applicability,Discovery,4
14,Guided,Post,Applicability,Discovery,3
15,Guided,Post,Applicability,Discovery,3
16,Guided,Post,Applicability,Discovery,4
17,Guided,Post,Applicability,Discovery,4
18,Guided,Post,Applicability,Discovery,4
19,Guided,Post,Applicability,Discovery,3
20,Guided,Post,Applicability,Discovery,
21,Guided,Post,Applicability,Discovery,4
22,Guided,Post,Applicability,Discovery,4
23,Guided,Post,Applicability,Discovery,
24,Guided,Post,Applicability,Discovery,1
25,Guided,Post,Applicability,Discovery,3
26,Guided,Post,Applicability,Discovery,4
27,Guided,Post,Applicability,Discovery,4
28,Guided,Post,Applicability,Discovery,2
unid2,Autonomous,Post,Applicability,Discovery,4
ALI-22,Autonomous,Post,Applicability,Discovery,2
AMY-31,Autonomous,Post,Applicability,Discovery,
AND-71,Autonomous,Post,Applicability,Discovery,3
ASH-36,Autonomous,Post,Applicability,Discovery,4
BEC-10,Autonomous,Post,Applicability,Discovery,
BUF-12,Autonomous,Post,Applicability,Discovery,3
CAR-24,Autonomous,Post,Applicability,Discovery,3
CIN-80,Autonomous,Post,Applicability,Discovery,
COL-11,Autonomous,Post,Applicability,Discovery,4
CON-11,Autonomous,Post,Applicability,Discovery,3
CON-68,Autonomous,Post,Applicability,Discovery,4
DON-64,Autonomous,Post,Applicability,Discovery,3
HUI-14,Autonomous,Post,Applicability,Discovery,3
IDA-HA,Autonomous,Post,Applicability,Discovery,3
JUD-32,Autonomous,Post,Applicability,Discovery,3
KYU-13,Autonomous,Post,Applicability,Discovery,
LAD-11,Autonomous,Post,Applicability,Discovery,3
LAU-21,Autonomous,Post,Applicability,Discovery,
LAU-91,Autonomous,Post,Applicability,Discovery,
LIS-80,Autonomous,Post,Applicability,Discovery,
16-Mar,Autonomous,Post,Applicability,Discovery,4
31-Mar,Autonomous,Post,Applicability,Discovery,
PAT-22,Autonomous,Post,Applicability,Discovery,3
ROQ-20,Autonomous,Post,Applicability,Discovery,3
RHO-36,Autonomous,Post,Applicability,Discovery,
RHO-80,Autonomous,Post,Applicability,Discovery,3
SHA-26,Autonomous,Post,Applicability,Discovery,4
TAM-30,Autonomous,Post,Applicability,Discovery,1
TRE-15,Autonomous,Post,Applicability,Discovery,
unid3,Autonomous,Post,Applicability,Discovery,
unid4,Autonomous,Post,Applicability,Discovery,
TIC-21,Autonomous,Post,Applicability,Discovery,3
CAR-91,Autonomous,Post,Applicability,Discovery,4
LIL-20,Autonomous,Post,Applicability,Discovery,5
unid,Autonomous,Post,Applicability,Discovery,3
1,Guided,Post,Applicability,Skills,5
2,Guided,Post,Applicability,Skills,
3,Guided,Post,Applicability,Skills,3
4,Guided,Post,Applicability,Skills,5
5,Guided,Post,Applicability,Skills,4
6,Guided,Post,Applicability,Skills,4
7,Guided,Post,Applicability,Skills,4
8,Guided,Post,Applicability,Skills,
9,Guided,Post,Applicability,Skills,5
10,Guided,Post,Applicability,Skills,4
11,Guided,Post,Applicability,Skills,4
12,Guided,Post,Applicability,Skills,5
13,Guided,Post,Applicability,Skills,4
14,Guided,Post,Applicability,Skills,4
15,Guided,Post,Applicability,Skills,4
16,Guided,Post,Applicability,Skills,5
17,Guided,Post,Applicability,Skills,4
18,Guided,Post,Applicability,Skills,5
19,Guided,Post,Applicability,Skills,5
20,Guided,Post,Applicability,Skills,
21,Guided,Post,Applicability,Skills,5
22,Guided,Post,Applicability,Skills,5
23,Guided,Post,Applicability,Skills,
24,Guided,Post,Applicability,Skills,1
25,Guided,Post,Applicability,Skills,3
26,Guided,Post,Applicability,Skills,5
27,Guided,Post,Applicability,Skills,5
28,Guided,Post,Applicability,Skills,3
unid2,Autonomous,Post,Applicability,Skills,5
ALI-22,Autonomous,Post,Applicability,Skills,5
AMY-31,Autonomous,Post,Applicability,Skills,
AND-71,Autonomous,Post,Applicability,Skills,5
ASH-36,Autonomous,Post,Applicability,Skills,5
BEC-10,Autonomous,Post,Applicability,Skills,
BUF-12,Autonomous,Post,Applicability,Skills,5
CAR-24,Autonomous,Post,Applicability,Skills,4
CIN-80,Autonomous,Post,Applicability,Skills,
COL-11,Autonomous,Post,Applicability,Skills,4
CON-11,Autonomous,Post,Applicability,Skills,3
CON-68,Autonomous,Post,Applicability,Skills,3
DON-64,Autonomous,Post,Applicability,Skills,5
HUI-14,Autonomous,Post,Applicability,Skills,4
IDA-HA,Autonomous,Post,Applicability,Skills,3
JUD-32,Autonomous,Post,Applicability,Skills,5
KYU-13,Autonomous,Post,Applicability,Skills,
LAD-11,Autonomous,Post,Applicability,Skills,5
LAU-21,Autonomous,Post,Applicability,Skills,
LAU-91,Autonomous,Post,Applicability,Skills,
LIS-80,Autonomous,Post,Applicability,Skills,
16-Mar,Autonomous,Post,Applicability,Skills,4
31-Mar,Autonomous,Post,Applicability,Skills,
PAT-22,Autonomous,Post,Applicability,Skills,2
ROQ-20,Autonomous,Post,Applicability,Skills,4
RHO-36,Autonomous,Post,Applicability,Skills,
RHO-80,Autonomous,Post,Applicability,Skills,5
SHA-26,Autonomous,Post,Applicability,Skills,3
TAM-30,Autonomous,Post,Applicability,Skills,4
TRE-15,Autonomous,Post,Applicability,Skills,
unid3,Autonomous,Post,Applicability,Skills,
unid4,Autonomous,Post,Applicability,Skills,
TIC-21,Autonomous,Post,Applicability,Skills,5
CAR-91,Autonomous,Post,Applicability,Skills,2
LIL-20,Autonomous,Post,Applicability,Skills,5
unid,Autonomous,Post,Applicability,Skills,3
1,Guided,Post,Applicability,Everyday,5
2,Guided,Post,Applicability,Everyday,
3,Guided,Post,Applicability,Everyday,5
4,Guided,Post,Applicability,Everyday,3
5,Guided,Post,Applicability,Everyday,1
6,Guided,Post,Applicability,Everyday,4
7,Guided,Post,Applicability,Everyday,3
8,Guided,Post,Applicability,Everyday,
9,Guided,Post,Applicability,Everyday,3
10,Guided,Post,Applicability,Everyday,4
11,Guided,Post,Applicability,Everyday,1
12,Guided,Post,Applicability,Everyday,4
13,Guided,Post,Applicability,Everyday,2
14,Guided,Post,Applicability,Everyday,2
